
# Surface 0 of 1 surfaces

# Curve title: "'$cloud'"

# IsoCurve 0, 50 points
# x y z type
 521.633  578.755  14.3398 i
 521.633  610.49  14.3789 i
 521.633  642.224  14.4261 i
 521.633  673.959  14.4832 i
 521.633  705.694  14.5528 i
 521.633  737.429  14.6382 i
 521.633  769.163  14.7444 i
 521.633  800.898  14.879 i
 521.633  832.633  15.0546 i
 521.633  864.367  15.2939 i
 521.633  896.102  15.6424 i
 521.633  927.837  16.1961 i
 521.633  959.571  16.5332 i
 521.633  991.306  15.2053 i
 521.633  1023.04  14.361 i
 521.633  1054.78  13.7182 i
 521.633  1086.51  12.6317 i
 521.633  1118.24  14.0908 i
 521.633  1149.98  12.8767 i
 521.633  1181.71  12.7537 i
 521.633  1213.45  12.5869 i
 521.633  1245.18  11.9208 i
 521.633  1276.92  11.6892 i
 521.633  1308.65  12.2174 i
 521.633  1340.39  12.9048 i
 521.633  1372.12  13.8023 i
 521.633  1403.86  16.6111 i
 521.633  1435.59  13.8749 i
 521.633  1467.33  19.3864 i
 521.633  1499.06  16.5593 i
 521.633  1530.8  16.6204 i
 521.633  1562.53  16.4017 i
 521.633  1594.27  16.3836 i
 521.633  1626  16.512 i

# IsoCurve 10, 50 points
# x y z type
 508.592  71  14.138 i
 508.592  102.735  14.1412 i
 508.592  134.469  14.1465 i
 508.592  166.204  14.1523 i
 508.592  197.939  14.158 i
 508.592  229.673  14.1635 i
 508.592  261.408  14.1692 i
 508.592  293.143  14.1755 i
 508.592  324.878  14.1828 i
 508.592  356.612  14.1915 i
 508.592  388.347  14.202 i
 508.592  420.082  14.2145 i
 508.592  451.816  14.2296 i
 508.592  483.551  14.2479 i
 508.592  515.286  14.2699 i
 508.592  547.02  14.2964 i
 508.592  578.755  14.3284 i
 508.592  610.49  14.3669 i
 508.592  642.224  14.4135 i
 508.592  673.959  14.4699 i
 508.592  705.694  14.5387 i
 508.592  737.429  14.6229 i
 508.592  769.163  14.7273 i
 508.592  800.898  14.8585 i
 508.592  832.633  15.027 i
 508.592  864.367  15.2513 i
 508.592  896.102  15.5657 i
 508.592  927.837  16.0407 i
 508.592  959.571  16.592 i
 508.592  991.306  14.6256 i
 508.592  1023.04  14.4622 i
 508.592  1054.78  12.9862 i
 508.592  1086.51  13.221 i
 508.592  1118.24  13.0019 i
 508.592  1149.98  12.9418 i
 508.592  1181.71  12.5745 i
 508.592  1213.45  12.2204 i
 508.592  1245.18  10.8665 i
 508.592  1276.92  12.0812 i
 508.592  1308.65  12.1067 i
 508.592  1340.39  12.5696 i
 508.592  1372.12  11.1864 i
 508.592  1403.86  16.9821 i
 508.592  1435.59  20.3829 i
 508.592  1467.33  17.0098 i
 508.592  1499.06  16.1473 i
 508.592  1530.8  16.1979 i
 508.592  1562.53  16.2953 i
 508.592  1594.27  16.4614 i
 508.592  1626  16.6521 i

# IsoCurve 11, 50 points
# x y z type
 495.551  71  14.1274 i
 495.551  102.735  14.1313 i
 495.551  134.469  14.1382 i
 495.551  166.204  14.1451 i
 495.551  197.939  14.1512 i
 495.551  229.673  14.1568 i
 495.551  261.408  14.1623 i
 495.551  293.143  14.1684 i
 495.551  324.878  14.1753 i
 495.551  356.612  14.1835 i
 495.551  388.347  14.1935 i
 495.551  420.082  14.2055 i
 495.551  451.816  14.22 i
 495.551  483.551  14.2377 i
 495.551  515.286  14.259 i
 495.551  547.02  14.2849 i
 495.551  578.755  14.3161 i
 495.551  610.49  14.3539 i
 495.551  642.224  14.3997 i
 495.551  673.959  14.4553 i
 495.551  705.694  14.523 i
 495.551  737.429  14.6059 i
 495.551  769.163  14.7083 i
 495.551  800.898  14.8359 i
 495.551  832.633  14.998 i
 495.551  864.367  15.2096 i
 495.551  896.102  15.5005 i
 495.551  927.837  15.9521 i
 495.551  959.571  17.5244 i
 495.551  991.306  15.1109 i
 495.551  1023.04  14.2821 i
 495.551  1054.78  12.0984 i
 495.551  1086.51  13.1414 i
 495.551  1118.24  13.0995 i
 495.551  1149.98  12.866 i
 495.551  1181.71  12.0606 i
 495.551  1213.45  11.82 i
 495.551  1245.18  11.8422 i
 495.551  1276.92  12.044 i
 495.551  1308.65  11.7809 i
 495.551  1340.39  11.0266 i
 495.551  1372.12  13.4458 i
 495.551  1403.86  16.8221 i
 495.551  1435.59  18.9356 i
 495.551  1467.33  16.321 i
 495.551  1499.06  15.8234 i
 495.551  1530.8  15.9533 i
 495.551  1562.53  16.2304 i
 495.551  1594.27  16.5547 i
 495.551  1626  16.8103 i

# IsoCurve 12, 50 points
# x y z type
 482.51  71  14.114 i
